,Seed,Learning Rate,Batch Size,Val CE,Val Accuracy,Val F1,Test CE,Test Accuracy,Test F1,Fine Tuning Time(m),Test Labeling Time(m),classification_report
0,5768,0.0001,32,6.725593239068985,0.9582884558895526,0.9623771179175183,14.132100040421767,0.9434522661523626,0.9527009280316902,3.245509481430054,0.048370818297068276,"              precision    recall  f1-score   support

         LOC     0.5066    0.7641    0.6093       301
         ORG     0.3745    0.8716    0.5239       553
         PER     0.8990    0.6493    0.7540       288

   micro avg     0.4613    0.7872    0.5817      1142
   macro avg     0.5934    0.7617    0.6291      1142
weighted avg     0.5416    0.7872    0.6044      1142
"
0,5768,0.0001,16,3.6676880167080808,0.9597571722314697,0.9635462378185082,7.182452288517893,0.9470009643201542,0.9551370954176865,5.828920499483744,0.05368743737538655,"              precision    recall  f1-score   support

         LOC     0.4637    0.7209    0.5644       301
         ORG     0.3955    0.8174    0.5330       553
         PER     0.8867    0.7882    0.8346       288

   micro avg     0.4799    0.7846    0.5955      1142
   macro avg     0.5819    0.7755    0.6440      1142
weighted avg     0.5373    0.7846    0.6173      1142
"
0,5768,0.0001,8,3.0169720948472913,0.9620092039557426,0.9656303209894354,3.9252097108987747,0.9537126325940212,0.9605544972250629,5.628161442279816,0.054114095369974774,"              precision    recall  f1-score   support

         LOC     0.6322    0.6910    0.6603       301
         ORG     0.4241    0.8391    0.5634       553
         PER     0.8627    0.8507    0.8566       288

   micro avg     0.5372    0.8030    0.6437      1142
   macro avg     0.6397    0.7936    0.6935      1142
weighted avg     0.5896    0.8030    0.6629      1142
"
0,5768,1e-05,32,4.955646209991896,0.9675903260550279,0.9701811920139054,7.43041161009494,0.9612343297974928,0.9657210925642368,5.487231318155924,0.047339900334676104,"              precision    recall  f1-score   support

         LOC     0.5285    0.8007    0.6367       301
         ORG     0.4874    0.9060    0.6338       553
         PER     0.8594    0.9340    0.8952       288

   micro avg     0.5626    0.8853    0.6880      1142
   macro avg     0.6251    0.8802    0.7219      1142
weighted avg     0.5920    0.8853    0.7005      1142
"
0,5768,1e-05,16,2.6992443069242515,0.9765984529521199,0.9779906137913903,4.248832375074819,0.9699903567984571,0.972830419536798,7.434970657030742,0.04990813334782918,"              precision    recall  f1-score   support

         LOC     0.6341    0.8638    0.7314       301
         ORG     0.5377    0.8644    0.6630       553
         PER     0.8953    0.9201    0.9075       288

   micro avg     0.6288    0.8783    0.7329      1142
   macro avg     0.6890    0.8828    0.7673      1142
weighted avg     0.6533    0.8783    0.7427      1142
"
0,5768,1e-05,8,1.2801023802044345,0.9727797904631352,0.9744888653569196,1.7351884781486457,0.9654387656702025,0.9690438664229742,5.692092410723368,0.0563387393951416,"              precision    recall  f1-score   support

         LOC     0.5604    0.8472    0.6746       301
         ORG     0.5058    0.8716    0.6401       553
         PER     0.8976    0.9132    0.9053       288

   micro avg     0.5879    0.8757    0.7035      1142
   macro avg     0.6546    0.8773    0.7400      1142
weighted avg     0.6190    0.8757    0.7161      1142
"
0,5768,1e-06,32,4.320491223094555,0.938509742485068,0.9457920318324753,7.142059739898233,0.9394792671166827,0.9491806261858475,9.694471228122712,0.0466133713722229,"              precision    recall  f1-score   support

         LOC     0.4411    0.8339    0.5770       301
         ORG     0.3390    0.7920    0.4748       553
         PER     0.7557    0.9132    0.8270       288

   micro avg     0.4310    0.8336    0.5682      1142
   macro avg     0.5120    0.8464    0.6263      1142
weighted avg     0.4710    0.8336    0.5906      1142
"
0,5768,1e-06,16,2.046929064135139,0.951826103985117,0.9565470597335523,3.5059241485124564,0.950549662487946,0.9574415934389012,10.56779176791509,0.049627912044525144,"              precision    recall  f1-score   support

         LOC     0.4952    0.8505    0.6259       301
         ORG     0.4116    0.8373    0.5518       553
         PER     0.7934    0.9201    0.8521       288

   micro avg     0.4980    0.8616    0.6312      1142
   macro avg     0.5667    0.8693    0.6766      1142
weighted avg     0.5299    0.8616    0.6471      1142
"
0,5768,1e-06,8,1.059228640780145,0.9630862626064819,0.9659124867144452,1.7633549771927022,0.9561812921890067,0.9616957464530009,10.77697689930598,0.053475582599639894,"              precision    recall  f1-score   support

         LOC     0.5325    0.8439    0.6530       301
         ORG     0.4242    0.8101    0.5569       553
         PER     0.8125    0.9028    0.8553       288

   micro avg     0.5192    0.8424    0.6424      1142
   macro avg     0.5897    0.8523    0.6884      1142
weighted avg     0.5507    0.8424    0.6574      1142
"
0,78516,0.0001,32,4.54361689549226,0.964946636639577,0.9677803016414896,8.505397682680803,0.9543683702989393,0.9606159161993231,4.404546757539113,0.04674994945526123,"              precision    recall  f1-score   support

         LOC     0.5385    0.7907    0.6406       301
         ORG     0.4304    0.8336    0.5677       553
         PER     0.8595    0.9132    0.8855       288

   micro avg     0.5289    0.8424    0.6498      1142
   macro avg     0.6095    0.8458    0.6980      1142
weighted avg     0.5671    0.8424    0.6671      1142
"
0,78516,0.0001,16,2.2501349304086316,0.969646528933712,0.9720139073497537,4.512874981498017,0.9550241080038573,0.9612603555167821,3.696532122294108,0.049698515733083086,"              precision    recall  f1-score   support

         LOC     0.6466    0.7841    0.7087       301
         ORG     0.4327    0.8608    0.5759       553
         PER     0.8155    0.8750    0.8442       288

   micro avg     0.5434    0.8441    0.6612      1142
   macro avg     0.6316    0.8399    0.7096      1142
weighted avg     0.5856    0.8441    0.6786      1142
"
